Date/Time,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),Pumps:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),ElectricityNet:Facility [J](Hourly),ElectricityPurchased:Facility [J](Hourly),Fans:Electricity [J](Hourly) 
 12/20  14:00:00,0,43924292.87,61516835,43924292.87,8652.895022,0,181201264.4,357568516.4,16746279.22,141366320,34992279.12,357568516.4,357568516.4,18245999.91
 12/20  15:00:00,0,37260666.18,46018594.98,37260666.18,8652.895022,0,168356066.8,343352681.4,16850914.84,141366320,33621641.69,343352681.4,343352681.4,16770726.85
 12/20  16:00:00,0,37534402.31,46284509.01,37534402.31,8652.895022,0,168356066.8,346844586.1,20205510.99,141366320,37113546.43,346844586.1,346844586.1,16908035.44
 12/20  17:00:00,0,48640770.53,61713085.98,48640770.53,8652.895022,0,178865773.9,364405955.7,25750899.74,141366320,44165208.87,364405955.7,364405955.7,18414309.13
 12/20  18:00:00,0,64167587.6,72869919.72,64167587.6,8652.895022,19438752,141927700.6,345116854.6,86297317.85,78536844.44,105204904.6,345116854.6,345116854.6,18907586.76
 12/20  19:00:00,0,106053771.8,110650781,106053771.8,8652.895022,29158128,69634939.79,276673688.1,115577172.9,47122106.66,130749860.8,276673688.1,276673688.1,15172687.89
 12/20  20:00:00,0,100233091.7,104830100.8,100233091.7,8652.895022,29158128,60292977.94,271929859.7,120175306.3,47122106.66,135347994.2,271929859.7,271929859.7,15172687.89
 12/20  21:00:00,0,95664913.89,100261923.1,95664913.89,8652.895022,29158128,60292977.94,260835807.3,124788622.8,31414737.77,139961310.7,260835807.3,260835807.3,15172687.89
 12/20  22:00:00,0,102659467.9,107256477.1,102659467.9,8652.895022,29158128,55621997.01,261685145.6,130308942,31414737.77,145481629.9,261685145.6,261685145.6,15172687.89
 12/20  23:00:00,0,0,4597009.177,0,8652.895022,29158128,55621997.01,100496146.8,0,15707368.89,0,100496146.8,100496146.8,0
 12/20  24:00:00,0,0,4597009.177,0,8652.895022,29158128,55621997.01,92642462.35,0,7853684.444,0,92642462.35,92642462.35,0
 12/21  01:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/21  02:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/21  03:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/21  04:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
 12/21  05:00:00,0,0,4597009.177,0,0,18840654,45974605.75,73502963.78,0,8687704.031,0,73502963.78,73502963.78,0
