Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE1 OFFICE ZN:Zone Air Temperature [C](Hourly),ZONE1 OFFICE ZN:Zone Air Relative Humidity [%](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE2 FINE STORAGE ZN:Zone Air Relative Humidity [%](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Temperature [C](Hourly),ZONE3 BULK STORAGE ZN:Zone Air Relative Humidity [%](Hourly),Electricity:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 01/03  03:15:00,,2.8,,,,,,,12143391.064501211,20215102.61086653 
 01/03  03:30:00,,2.8,,,,,,,12143391.064501211,30205244.952669905 
 01/03  03:45:00,,2.8,,,,,,,11327016.49313701,25101299.195006666 
 01/03  04:00:00,,2.8,15.48263394194323,27.9758333154059,15.206179956185972,25.177262225657274,10.648263073142133,35.31738698869634,10864812.746657372,3018683.7211768587 
 01/03  04:15:00,,2.8,,,,,,,12143391.064501211,24855469.81378606 
 01/03  04:30:00,,2.8,,,,,,,12143391.064501211,20778659.828572036 
 01/03  04:45:00,,2.8,,,,,,,12143391.064501211,30849428.955178787 
 01/03  05:00:00,,2.8,15.470792192651765,29.04699716096652,15.562313129021352,25.777892225983999,10.642386599403146,35.81069073653693,11327016.49313701,25691786.751038545 
 01/03  05:15:00,,2.8,,,,,,,10866785.880031405,3213345.8908923955 
 01/03  05:30:00,,2.8,,,,,,,12143391.064501211,25301276.168029738 
 01/03  05:45:00,,2.8,,,,,,,12143391.064501211,20337204.467621559 
 01/03  06:00:00,,2.8,15.599463243287686,29.689470918046703,15.204153152605296,27.476393443276796,10.648263234043809,36.25283442338528,12143391.064501211,30028928.48305478 
 01/03  06:15:00,,2.8,,,,,,,13157668.561588606,24736420.627333259 
 01/03  06:30:00,,2.8,,,,,,,12677031.70110295,18413105.439554078 
 01/03  06:45:00,,2.8,,,,,,,13974043.132952808,43635007.13838613 
 01/03  07:00:00,,2.8,19.124882299796885,24.68629152693475,15.192415926593104,28.27464260432074,10.675144104426139,36.542799257909639,13974043.132952808,45824110.77377361 
 01/03  07:15:00,,2.925,,,,,,,30058872.11835094,47310490.345097128 
